Finite Time (ns): ,700,,Fuzzy Time (ns): ,673300
Finite Time (ns): ,700,,Fuzzy Time (ns): ,638700
Finite Time (ns): ,700,,Fuzzy Time (ns): ,798400
Finite Time (ns): ,800,,Fuzzy Time (ns): ,1048200
Finite Time (ns): ,1200,,Fuzzy Time (ns): ,667400
Finite Time (ns): ,900,,Fuzzy Time (ns): ,884800
Finite Time (ns): ,900,,Fuzzy Time (ns): ,927200
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,917300
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,929800
Finite Time (ns): ,700,,Fuzzy Time (ns): ,1110300
Finite Time (ns): ,600,,Fuzzy Time (ns): ,995700
Finite Time (ns): ,800,,Fuzzy Time (ns): ,1036700
Finite Time (ns): ,23100,,Fuzzy Time (ns): ,1098200
Finite Time (ns): ,400,,Fuzzy Time (ns): ,944400
Finite Time (ns): ,700,,Fuzzy Time (ns): ,705000
Finite Time (ns): ,300,,Fuzzy Time (ns): ,347000
Finite Time (ns): ,400,,Fuzzy Time (ns): ,232900
Finite Time (ns): ,300,,Fuzzy Time (ns): ,314200
Finite Time (ns): ,300,,Fuzzy Time (ns): ,229600
Finite Time (ns): ,300,,Fuzzy Time (ns): ,395200
Finite Time (ns): ,500,,Fuzzy Time (ns): ,733100
Finite Time (ns): ,500,,Fuzzy Time (ns): ,1006900
Finite Time (ns): ,600,,Fuzzy Time (ns): ,598800
Finite Time (ns): ,700,,Fuzzy Time (ns): ,377500
Finite Time (ns): ,400,,Fuzzy Time (ns): ,359800
Finite Time (ns): ,400,,Fuzzy Time (ns): ,356300
Finite Time (ns): ,400,,Fuzzy Time (ns): ,363200
Finite Time (ns): ,700,,Fuzzy Time (ns): ,642900
Finite Time (ns): ,500,,Fuzzy Time (ns): ,396300
Finite Time (ns): ,500,,Fuzzy Time (ns): ,398100
Finite Time (ns): ,500,,Fuzzy Time (ns): ,465100
Finite Time (ns): ,700,,Fuzzy Time (ns): ,470400
Finite Time (ns): ,600,,Fuzzy Time (ns): ,502400
Finite Time (ns): ,500,,Fuzzy Time (ns): ,565700
Finite Time (ns): ,600,,Fuzzy Time (ns): ,469100
Finite Time (ns): ,500,,Fuzzy Time (ns): ,589600
Finite Time (ns): ,800,,Fuzzy Time (ns): ,717400
Finite Time (ns): ,700,,Fuzzy Time (ns): ,538000
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,547600
Finite Time (ns): ,600,,Fuzzy Time (ns): ,526100
Finite Time (ns): ,700,,Fuzzy Time (ns): ,522000
Finite Time (ns): ,800,,Fuzzy Time (ns): ,518600
Finite Time (ns): ,600,,Fuzzy Time (ns): ,522500
Finite Time (ns): ,900,,Fuzzy Time (ns): ,544600
Finite Time (ns): ,900,,Fuzzy Time (ns): ,643400
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,677600
Finite Time (ns): ,1600,,Fuzzy Time (ns): ,861900
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,1713200
Finite Time (ns): ,1600,,Fuzzy Time (ns): ,1758400
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,2275200
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,1296200
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,932100
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,780500
Finite Time (ns): ,1100,,Fuzzy Time (ns): ,746400
Finite Time (ns): ,1200,,Fuzzy Time (ns): ,751500
Finite Time (ns): ,1200,,Fuzzy Time (ns): ,752200
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,762500
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,1260300
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,768300
Finite Time (ns): ,900,,Fuzzy Time (ns): ,763500
Finite Time (ns): ,1100,,Fuzzy Time (ns): ,750100
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,748300
Finite Time (ns): ,900,,Fuzzy Time (ns): ,763800
Finite Time (ns): ,900,,Fuzzy Time (ns): ,751800
Finite Time (ns): ,900,,Fuzzy Time (ns): ,748700
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,772200
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,755400
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,763900
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,839500
Finite Time (ns): ,1200,,Fuzzy Time (ns): ,762400
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,1259600
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1292100
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,1337400
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,1493300
Finite Time (ns): ,1700,,Fuzzy Time (ns): ,1064500
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,1743400
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1523900
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,1292900
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,1279700
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,1277000
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,870700
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,1286500
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,1370200
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,1269100
Finite Time (ns): ,3500,,Fuzzy Time (ns): ,1765800
Finite Time (ns): ,2600,,Fuzzy Time (ns): ,2007800
Finite Time (ns): ,3500,,Fuzzy Time (ns): ,1297500
Finite Time (ns): ,2200,,Fuzzy Time (ns): ,1419200
Finite Time (ns): ,3200,,Fuzzy Time (ns): ,1319400
Finite Time (ns): ,2800,,Fuzzy Time (ns): ,1302500
Finite Time (ns): ,2600,,Fuzzy Time (ns): ,1327900
Finite Time (ns): ,2500,,Fuzzy Time (ns): ,1299800
Finite Time (ns): ,2900,,Fuzzy Time (ns): ,1297700
Finite Time (ns): ,3200,,Fuzzy Time (ns): ,1299100
Finite Time (ns): ,2100,,Fuzzy Time (ns): ,788500
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,777000
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,793700
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,775700
Finite Time (ns): ,7800,,Fuzzy Time (ns): ,777300
Finite Time (ns): ,2600,,Fuzzy Time (ns): ,1258000
Finite Time (ns): ,2200,,Fuzzy Time (ns): ,805500
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,803400
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,780700
